cnr,courtName,stateName,caseType,case_type_name,filing_date,decision_date,duration_days,duration_days_capped,duration_days_log,tier,filing_month,filing_day,filing_dayofweek,is_old_case,is_very_old_case
DLWT010066572024,"District and Sessions Judge, West, THC",Delhi,BA,Bail Application,2024-08-03,2024-08-07,4,4.0,1.6094379124341003,district,8,3,5,0,0
DLWT010066562024,"District and Sessions Judge, West, THC",Delhi,BA,Bail Application,2024-08-03,2024-08-07,4,4.0,1.6094379124341003,district,8,3,5,0,0
DLWT010089212024,"District and Sessions Judge, West, THC",Delhi,BA,Bail Application,2024-10-14,2024-10-22,8,8.0,2.1972245773362196,district,10,14,0,0,0
GJHC240064392020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-01-24,2020-02-03,10,10.0,2.3978952727983707,hc,1,24,4,1,0
GJJM010000812020,"DISTRICT AND SESSIONS COURT, JAMNAGAR",Gujarat,CRL_A,Criminal Appeal,2020-01-08,2021-08-12,582,582.0,6.368187186350492,district,1,8,2,1,0
GJHC240416922020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-19,2020-12-23,95,95.0,4.564348191467836,hc,9,19,5,1,0
GJMR010002152020,District Court - Morbi,Gujarat,CRL_A,Criminal Appeal,2020-02-06,2023-07-14,1254,1254.0,7.134890851565884,district,2,6,3,1,0
GJHC240182532020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-03-09,2024-03-27,1479,1479.0,7.299797366758161,hc,3,9,0,1,0
GJHC240182532020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-03-09,2024-03-27,1479,1479.0,7.299797366758161,hc,3,9,0,1,0
GJHC240193712020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-03-13,2024-10-04,1666,1666.0,7.418780882750794,hc,3,13,4,1,0
GJHC240193712020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-03-13,2024-10-04,1666,1666.0,7.418780882750794,hc,3,13,4,1,0
GJHC240399642020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-10,2020-09-21,11,11.0,2.4849066497880004,hc,9,10,3,1,0
GJHC240399672020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-10,2020-09-24,14,14.0,2.70805020110221,hc,9,10,3,1,0
GJHC240410402020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-17,2020-10-22,35,35.0,3.58351893845611,hc,9,17,3,1,0
GJHC240410372020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-17,2020-11-04,48,48.0,3.8918202981106265,hc,9,17,3,1,0
GJMH150006932020,visnagar_addldj Court,Gujarat,CRL_A,Criminal Appeal,2020-09-22,2020-10-03,11,11.0,2.4849066497880004,district,9,22,1,1,0
GJSK010002682020,DISTRICT AND SESSIONS COURT SABARKANTHA,Gujarat,CRL_A,Criminal Appeal,2020-02-26,2020-03-17,20,20.0,3.044522437723423,district,2,26,2,1,0
GJMH010008522020,"DISTRICT COURT, MEHSANA",Gujarat,CRL_A,Criminal Appeal,2020-03-06,2021-08-31,543,543.0,6.298949246855942,district,3,6,4,1,0
GJMH010008502020,"DISTRICT COURT, MEHSANA",Gujarat,CRL_A,Criminal Appeal,2020-03-06,2022-03-28,752,752.0,6.6240652277998935,district,3,6,4,1,0
GJMH010008512020,"DISTRICT COURT, MEHSANA",Gujarat,CRL_A,Criminal Appeal,2020-03-06,2022-03-28,752,752.0,6.6240652277998935,district,3,6,4,1,0
GJMH010008472020,"DISTRICT COURT, MEHSANA",Gujarat,CRL_A,Criminal Appeal,2020-03-05,2022-06-29,846,846.0,6.741700694652055,district,3,5,3,1,0
GJBN150003302020,mahuva_addldj Court,Gujarat,CRL_A,Criminal Appeal,2020-08-05,2025-01-31,1640,1640.0,7.403061091090091,district,8,5,2,1,0
GJBN150003322020,mahuva_addldj Court,Gujarat,CRL_A,Criminal Appeal,2020-08-06,2020-09-11,36,36.0,3.6109179126442243,district,8,6,3,1,0
GJBN150003312020,mahuva_addldj Court,Gujarat,CRL_A,Criminal Appeal,2020-08-06,2020-09-11,36,36.0,3.6109179126442243,district,8,6,3,1,0
GJHC240399542020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-10,2020-11-25,76,76.0,4.343805421853684,hc,9,10,3,1,0
GJHC240399522020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-10,2020-09-21,11,11.0,2.4849066497880004,hc,9,10,3,1,0
GJHC240270922020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-06-29,2020-07-03,4,4.0,1.6094379124341003,hc,6,29,0,1,0
GJHC240286962020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-07-15,2020-08-17,33,33.0,3.5263605246161616,hc,7,15,2,1,0
GJHC240406792020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-16,2020-10-22,36,36.0,3.6109179126442243,hc,9,16,2,1,0
GJHC240304042020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-07-23,2020-08-19,27,27.0,3.332204510175204,hc,7,23,3,1,0
GJHC240332372020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-11,2020-08-19,8,8.0,2.1972245773362196,hc,8,11,1,1,0
GJHC240332392020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-11,2020-08-18,7,7.0,2.0794415416798357,hc,8,11,1,1,0
GJHC240309652020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-07-27,2020-08-07,11,11.0,2.4849066497880004,hc,7,27,0,1,0
GJHC240331002020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-10,2020-09-16,37,37.0,3.6375861597263857,hc,8,10,0,1,0
GJHC240341112020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-17,2020-09-29,43,43.0,3.784189633918261,hc,8,17,0,1,0
GJBH110000322020,"Additional District Court, Ankleshwar",Gujarat,CRL_A,Criminal Appeal,2020-01-06,2021-07-10,551,551.0,6.313548046277095,district,1,6,0,1,0
GJHC240427732020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-23,2020-11-02,40,40.0,3.713572066704308,hc,9,23,2,1,0
GJHC240520502020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-11-02,2020-12-02,30,30.0,3.4339872044851463,hc,11,2,0,1,0
GJHC240520442020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-11-02,2020-12-10,38,38.0,3.6635616461296463,hc,11,2,0,1,0
GJHC240309782020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-07-27,2020-08-21,25,25.0,3.258096538021482,hc,7,27,0,1,0
GJHC240336962020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-14,2020-10-01,48,48.0,3.8918202981106265,hc,8,14,4,1,0
GJHC240336982020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-14,2022-08-23,739,739.0,6.606650186198215,hc,8,14,4,1,0
GJSK180000062020,ADDITIONAL DISTRICT AND SESSIONS COURT AT IDAR,Gujarat,CRL_A,Criminal Appeal,2020-01-02,2022-08-13,954,954.0,6.86171134048073,district,1,2,3,1,0
GJPM010000352020,"District Court, Godhra",Gujarat,CRL_A,Criminal Appeal,2020-01-07,2022-08-29,965,965.0,6.873163834212518,district,1,7,1,1,0
GJPM010000392020,"District Court, Godhra",Gujarat,CRL_A,Criminal Appeal,2020-01-07,2022-06-18,893,893.0,6.795705775173515,district,1,7,1,1,0
GJKH010022992020,"DISTRICT COURT, NADIAD",Gujarat,CRL_A,Criminal Appeal,2020-09-16,2020-09-23,7,7.0,2.0794415416798357,district,9,16,2,1,0
GJKH010023002020,"DISTRICT COURT, NADIAD",Gujarat,CRL_A,Criminal Appeal,2020-09-16,2021-08-02,320,320.0,5.771441123130016,district,9,16,2,1,0
GJHC240429432020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-24,2020-10-05,11,11.0,2.4849066497880004,hc,9,24,3,1,0
GJHC240440592020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-29,2020-10-26,27,27.0,3.332204510175204,hc,9,29,1,1,0
GJHC240449032020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-10-03,2021-12-22,445,445.0,6.100318952020064,hc,10,3,5,1,0
GJHC240451052020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-10-03,2020-10-14,11,11.0,2.4849066497880004,hc,10,3,5,1,0
GJHC240362932020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-25,2020-10-14,50,50.0,3.9318256327243257,hc,8,25,1,1,0
GJHC240371952020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-28,2020-09-07,10,10.0,2.3978952727983707,hc,8,28,4,1,0
GJDW080001952020,ADDL. COURT-DWARKA,Gujarat,CRL_A,Criminal Appeal,2020-02-03,2023-01-31,1093,1093.0,6.9975959829819265,district,2,3,0,1,0
GJDW080002032020,ADDL. COURT-DWARKA,Gujarat,CRL_A,Criminal Appeal,2020-03-05,2022-01-28,694,694.0,6.543911845564792,district,3,5,3,1,0
GJDW080002072020,ADDL. COURT-DWARKA,Gujarat,CRL_A,Criminal Appeal,2020-03-12,2022-02-10,700,700.0,6.55250788703459,district,3,12,3,1,0
GJHC240375042020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-29,2021-08-17,353,353.0,5.869296913133774,hc,8,29,5,1,0
GJHC240375052020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-29,2020-09-10,12,12.0,2.5649493574615367,hc,8,29,5,1,0
GJHC240375072020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-29,2020-10-07,39,39.0,3.6888794541139363,hc,8,29,5,1,0
GJHC240371932020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-28,2025-06-17,1754,1754.0,7.470224135899966,hc,8,28,4,1,0
GJKT010021912020,District and Sessions Court Bhuj,Gujarat,CRL_A,Criminal Appeal,2020-08-06,2022-10-19,804,804.0,6.690842277418564,district,8,6,3,1,0
GJKT010021922020,District and Sessions Court Bhuj,Gujarat,CRL_A,Criminal Appeal,2020-08-06,2022-10-19,804,804.0,6.690842277418564,district,8,6,3,1,0
GJKT010021932020,District and Sessions Court Bhuj,Gujarat,CRL_A,Criminal Appeal,2020-08-06,2022-10-19,804,804.0,6.690842277418564,district,8,6,3,1,0
GJBK230005002020,"ADDITIONAL DISTRICT COURT, THARAD",Gujarat,CRL_A,Criminal Appeal,2020-11-24,2020-12-19,25,25.0,3.258096538021482,district,11,24,1,1,0
GJHC240608782020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-12-18,2020-12-24,6,6.0,1.9459101490553132,hc,12,18,4,1,0
GJHC240608792020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-12-18,2021-02-03,47,47.0,3.8712010109078907,hc,12,18,4,1,0
GJHC240624412020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-12-24,2021-01-20,27,27.0,3.332204510175204,hc,12,24,3,1,0
GJHC240624442020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-12-24,2021-01-20,27,27.0,3.332204510175204,hc,12,24,3,1,0
GJHC240624432020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-12-24,2024-10-22,1398,1398.0,7.243512974665482,hc,12,24,3,1,0
GJHC240624432020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-12-24,2024-10-22,1398,1398.0,7.243512974665482,hc,12,24,3,1,0
GJHC240222812020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-05-06,2020-05-14,8,8.0,2.1972245773362196,hc,5,6,2,1,0
GJHC240071442020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-01-28,2024-08-06,1652,1652.0,7.410347097821024,hc,1,28,1,1,0
GJHC240071442020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-01-28,2024-08-06,1652,1652.0,7.410347097821024,hc,1,28,1,1,0
GJGN010013722020,Gandhinagar District,Gujarat,CRL_A,Criminal Appeal,2020-08-31,2020-09-11,11,11.0,2.4849066497880004,district,8,31,0,1,0
GJHC240324902020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-06,2020-08-21,15,15.0,2.772588722239781,hc,8,6,3,1,0
GJVD010017762020,vadodara_district Court,Gujarat,CRL_A,Criminal Appeal,2020-02-28,2022-01-01,673,673.0,6.513230110912307,district,2,28,4,1,0
GJHC240324922020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-06,2020-08-13,7,7.0,2.0794415416798357,hc,8,6,3,1,0
GJHC240333572020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-11,2020-08-31,20,20.0,3.044522437723423,hc,8,11,1,1,0
GJHC240340912020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-17,2024-02-14,1276,1276.0,7.152268856032539,hc,8,17,0,1,0
GJHC240340912020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-17,2024-02-14,1276,1276.0,7.152268856032539,hc,8,17,0,1,0
GJHC240340922020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-17,2024-12-20,1586,1586.0,7.369600720526409,hc,8,17,0,1,0
GJHC240340922020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-08-17,2024-12-20,1586,1586.0,7.369600720526409,hc,8,17,0,1,0
GJVD010012342020,vadodara_district Court,Gujarat,CRL_A,Criminal Appeal,2020-02-11,2022-02-05,725,725.0,6.587550014824796,district,2,11,1,1,0
GJVD010012332020,vadodara_district Court,Gujarat,CRL_A,Criminal Appeal,2020-02-11,2023-08-31,1297,1297.0,7.168579897264035,district,2,11,1,1,0
GJBK230000922020,"ADDITIONAL DISTRICT COURT, THARAD",Gujarat,CRL_A,Criminal Appeal,2020-02-04,2021-11-10,645,645.0,6.470799503782602,district,2,4,1,1,0
GJHC240210632020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-03-21,2020-06-23,94,94.0,4.553876891600541,hc,3,21,5,1,0
GJKH010032972020,"DISTRICT COURT, NADIAD",Gujarat,CRL_A,Criminal Appeal,2020-12-02,2021-03-06,94,94.0,4.553876891600541,district,12,2,2,1,0
GJKH010032982020,"DISTRICT COURT, NADIAD",Gujarat,CRL_A,Criminal Appeal,2020-12-02,2021-10-16,318,318.0,5.765191102784844,district,12,2,2,1,0
GJVL090015252020,ADDL. COURT-VAPI,Gujarat,CRL_A,Criminal Appeal,2020-02-01,2021-08-02,548,548.0,6.3080984415095305,district,2,1,5,1,0
GJVL090015292020,ADDL. COURT-VAPI,Gujarat,CRL_A,Criminal Appeal,2020-02-01,2023-06-12,1227,1227.0,7.113142108707088,district,2,1,5,1,0
GJVL090015212020,ADDL. COURT-VAPI,Gujarat,CRL_A,Criminal Appeal,2020-02-01,2021-07-23,538,538.0,6.289715570908998,district,2,1,5,1,0
GJVL090015372020,ADDL. COURT-VAPI,Gujarat,CRL_A,Criminal Appeal,2020-02-01,2021-08-25,571,571.0,6.349138991379798,district,2,1,5,1,0
GJVL090015432020,ADDL. COURT-VAPI,Gujarat,CRL_A,Criminal Appeal,2020-02-01,2021-07-10,525,525.0,6.26530121273771,district,2,1,5,1,0
GJVL090015332020,ADDL. COURT-VAPI,Gujarat,CRL_A,Criminal Appeal,2020-02-01,2023-06-27,1242,1242.0,7.1252830915107115,district,2,1,5,1,0
GJHC240055592020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-01-22,2020-02-13,22,22.0,3.1354942159291497,hc,1,22,2,1,0
GJHC240061752020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-01-23,2020-01-28,5,5.0,1.791759469228055,hc,1,23,3,1,0
GJHC240087802020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-02-03,2020-02-06,3,3.0,1.3862943611198906,hc,2,3,0,1,0
GJHC240087822020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-02-03,2020-02-05,2,2.0,1.0986122886681096,hc,2,3,0,1,0
GJHC240087812020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-02-03,2020-02-06,3,3.0,1.3862943611198906,hc,2,3,0,1,0
GJHC240415692020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-18,2020-10-27,39,39.0,3.6888794541139363,hc,9,18,4,1,0
GJHC240415682020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-09-18,2020-10-07,19,19.0,2.995732273553991,hc,9,18,4,1,0
GJAH010034402020,AHMEDABAD DISTRICT COURT,Gujarat,CRL_A,Criminal Appeal,2020-09-18,2020-09-29,11,11.0,2.4849066497880004,district,9,18,4,1,0
GJHC240089032020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-02-04,2023-07-11,1253,1253.0,7.134093721192866,hc,2,4,1,1,0
GJHC240300992020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-07-22,2020-08-13,22,22.0,3.1354942159291497,hc,7,22,2,1,0
GJHC240301012020,"High Court, Gujarat",Gujarat,CRL_A,Criminal Appeal,2020-07-22,2020-09-17,57,57.0,4.060443010546419,hc,7,22,2,1,0
GJNV010007842020,navsari_district Court,Gujarat,CRL_A,Criminal Appeal,2020-08-29,2020-11-02,65,65.0,4.189654742026425,district,8,29,5,1,0
GJJN210001272020,Additional District Court Keshod,Gujarat,CRL_A,Criminal Appeal,2020-02-10,2020-02-18,8,8.0,2.1972245773362196,district,2,10,0,1,0
GJJN210001282020,Additional District Court Keshod,Gujarat,CRL_A,Criminal Appeal,2020-02-10,2020-02-18,8,8.0,2.1972245773362196,district,2,10,0,1,0
GJJN210001332020,Additional District Court Keshod,Gujarat,CRL_A,Criminal Appeal,2020-02-12,2020-02-17,5,5.0,1.791759469228055,district,2,12,2,1,0
MLHC010001402020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-02-10,2020-02-11,1,1.0,0.6931471805599453,hc,2,10,0,1,0
MLHC010007002020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-09-30,2020-12-09,70,70.0,4.2626798770413155,hc,9,30,2,1,0
MLHC010007042020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-10-01,2022-03-17,532,532.0,6.278521424165844,hc,10,1,3,1,0
MLHC010010422020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-14,2021-04-20,127,127.0,4.852030263919617,hc,12,14,0,1,0
MLHC010008792020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-24,2022-03-29,490,490.0,6.19644412779452,hc,11,24,1,1,0
MLHC010008782020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-24,2022-03-29,490,490.0,6.19644412779452,hc,11,24,1,1,0
MLHC010003962020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-15,2020-12-09,177,177.0,5.181783550292085,hc,6,15,0,1,0
MLHC010003952020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-15,2020-07-15,30,30.0,3.4339872044851463,hc,6,15,0,1,0
MLHC010003972020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-16,2020-10-06,112,112.0,4.727387818712341,hc,6,16,1,1,0
MLHC010003942020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-15,2023-11-22,1255,1255.0,7.135687347028144,hc,6,15,0,1,0
MLHC010002532020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-03-12,2020-10-06,208,208.0,5.342334251964811,hc,3,12,3,1,0
MLHC010010202020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-10,2022-09-26,655,655.0,6.486160788944089,hc,12,10,3,1,0
MLHC010010232020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-11,2020-12-16,5,5.0,1.791759469228055,hc,12,11,4,1,0
MLHC010010242020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-11,2020-12-16,5,5.0,1.791759469228055,hc,12,11,4,1,0
MLHC010010222020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-11,2022-10-28,686,686.0,6.532334292222349,hc,12,11,4,1,0
MLHC010003292020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-05-20,2020-06-12,23,23.0,3.1780538303479458,hc,5,20,2,1,0
MLHC010003892020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-15,2023-11-22,1255,1255.0,7.135687347028144,hc,6,15,0,1,0
MLHC010003282020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-05-20,2020-06-12,23,23.0,3.1780538303479458,hc,5,20,2,1,0
MLHC010009772020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-04,2022-10-21,686,686.0,6.532334292222349,hc,12,4,4,1,0
MLHC010005342020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-07-21,2023-11-22,1219,1219.0,7.106606137727303,hc,7,21,1,1,0
MLHC010005362020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-07-21,2023-11-22,1219,1219.0,7.106606137727303,hc,7,21,1,1,0
MLHC010005352020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-07-21,2023-11-22,1219,1219.0,7.106606137727303,hc,7,21,1,1,0
MLHC010003312020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-05-28,2020-12-04,190,190.0,5.25227342804663,hc,5,28,3,1,0
MLHC010010442020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-15,2021-02-23,70,70.0,4.2626798770413155,hc,12,15,1,1,0
MLHC010008412020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-16,2022-06-07,568,568.0,6.343880434126331,hc,11,16,0,1,0
MLHC010006452020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-09-09,2020-09-16,7,7.0,2.0794415416798357,hc,9,9,2,1,0
MLHC010008662020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-20,2020-12-15,25,25.0,3.258096538021482,hc,11,20,4,1,0
MLHC010008652020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-19,2023-12-01,1107,1107.0,7.010311867307229,hc,11,19,3,1,0
MLHC010000682020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-01-28,2022-09-29,975,975.0,6.883462586413092,hc,1,28,1,1,0
MLHC010000692020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-01-28,2022-09-29,975,975.0,6.883462586413092,hc,1,28,1,1,0
MLHC010002542020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-03-12,2021-12-17,645,645.0,6.470799503782602,hc,3,12,3,1,0
MLHC010008332020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-12,2020-12-11,29,29.0,3.4011973816621555,hc,11,12,3,1,0
MLHC010008382020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-12,2020-12-08,26,26.0,3.295836866004329,hc,11,12,3,1,0
MLHC010008402020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-12,2021-02-01,81,81.0,4.406719247264253,hc,11,12,3,1,0
MLHC010008392020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-11-12,2020-12-11,29,29.0,3.4011973816621555,hc,11,12,3,1,0
MLHC010001872020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-02-20,2020-03-18,27,27.0,3.332204510175204,hc,2,20,3,1,0
MLHC010001892020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-02-20,2022-06-23,854,854.0,6.75110146893676,hc,2,20,3,1,0
MLHC010005822020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-08-17,2025-03-13,1669,1669.0,7.4205789054108005,hc,8,17,0,1,0
MLHC010005842020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-08-17,2021-04-06,232,232.0,5.4510384535657,hc,8,17,0,1,0
MLHC010005852020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-08-17,2020-10-28,72,72.0,4.290459441148391,hc,8,17,0,1,0
MLHC010005832020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-08-17,2021-04-06,232,232.0,5.4510384535657,hc,8,17,0,1,0
MLHC010005902020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-08-19,2021-04-08,232,232.0,5.4510384535657,hc,8,19,2,1,0
MLHC010003902020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-15,2023-11-22,1255,1255.0,7.135687347028144,hc,6,15,0,1,0
MLHC010005892020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-08-19,2021-04-08,232,232.0,5.4510384535657,hc,8,19,2,1,0
MLHC010003852020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-06-15,2020-10-05,112,112.0,4.727387818712341,hc,6,15,0,1,0
MLHC010007582020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-10-19,2021-04-08,171,171.0,5.147494476813453,hc,10,19,0,1,0
MLHC010007592020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-10-19,2021-12-14,421,421.0,6.045005314036012,hc,10,19,0,1,0
MLHC010007602020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-10-19,2022-03-07,504,504.0,6.22455842927536,hc,10,19,0,1,0
MLHC010007612020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-10-19,2020-12-08,50,50.0,3.9318256327243257,hc,10,19,0,1,0
MLHC010007622020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-10-19,2020-12-08,50,50.0,3.9318256327243257,hc,10,19,0,1,0
MLHC010009702020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-04,2022-10-28,693,693.0,6.542471960506805,hc,12,4,4,1,0
MLHC010009672020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-04,2022-10-28,693,693.0,6.542471960506805,hc,12,4,4,1,0
MLHC010009692020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-04,2022-10-28,693,693.0,6.542471960506805,hc,12,4,4,1,0
MLHC010009682020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-04,2022-10-28,693,693.0,6.542471960506805,hc,12,4,4,1,0
MLHC010009832020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-07,2021-02-02,57,57.0,4.060443010546419,hc,12,7,0,1,0
MLHC010009812020,High Court of Meghalaya,Meghalaya,WP_C,Writ Petition (Civil),2020-12-07,2021-12-02,360,360.0,5.8888779583328805,hc,12,7,0,1,0
