case_type,domain,sub_category,category,required_documents,optional_documents,time_validity,submission_deadline,format_requirements,number_of_copies,stamp_duty_required,notarization_required
Medical Negligence,Civil Law,Services-Health,Civil/Tort,"Medical records; Treatment history; Prescription; Discharge summary; Medical bills; Expert report; FIR; Complaint; Affidavit; Medical literature; Consent forms","Photos; Witness statements; Consent forms; Medical board opinion; Test reports",2 years from incident,At filing,"A4 size; Original medical records; Doctors notes; Photos",3,Yes,Yes
Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds; Interim relief; Legal citations","Legal research; Precedents; Expert opinions; Parliamentary records; Constitutional texts",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations; Section numbers",5,No,Yes
Constitutional Law,Constitutional Law,Fundamental Rights-Article 15,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds; Interim relief; Legal citations","Legal research; Precedents; Expert opinions; Parliamentary records; Constitutional texts",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations; Section numbers",5,No,Yes
Constitutional Law,Constitutional Law,Writ-Habeas Corpus,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds; Interim relief; Detention order","Legal research; Precedents; Expert opinions; Parliamentary records; Constitutional texts",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations; Section numbers",5,No,Yes
Constitutional Law,Constitutional Law,Writ-Mandamus,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds; Interim relief; Mandamus grounds","Legal research; Precedents; Expert opinions; Parliamentary records; Constitutional texts",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations; Section numbers",5,No,Yes
POCSO & Juvenile Justice,Criminal Law,IPC-Rape,Criminal,"FIR; Medical report; Statement under Section 164; Child's statement; Charge sheet; Medical examination; Victim impact statement; Counsel details; Bail application; Child protection plan","Psychology report; School records; Child protection plan; Witness list; Support documents",Immediate,Immediate,"Confidential; Sealed cover; Special formatting; Medical reports",2,No,Yes
POCSO & Juvenile Justice,Criminal Law,IPC-Gang Rape,Criminal,"FIR; Medical report; Statement under Section 164; Child's statement; Charge sheet; Medical examination; Victim impact statement; Counsel details; Bail application; Child protection plan","Psychology report; School records; Child protection plan; Witness list; Support documents",Immediate,Immediate,"Confidential; Sealed cover; Special formatting; Medical reports",2,No,Yes
POCSO & Juvenile Justice,Criminal Law,IPC-Acid Attack,Criminal,"FIR; Medical report; Statement under Section 164; Child's statement; Charge sheet; Medical examination; Victim impact statement; Counsel details; Bail application; Child protection plan","Psychology report; School records; Child protection plan; Witness list; Support documents",Immediate,Immediate,"Confidential; Sealed cover; Special formatting; Medical reports",2,No,Yes
Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Criminal,"Complaint; FIR; Charge sheet; Sanction order; Trap report; Panchnama; Forensic report; Audio/video evidence; Asset records; Explanation; Witness list","Income records; Property records; Bank statements; Witnesses; Surveillance records",6 months,At filing,"A4 size; Sealed cover; Original documents; Audio/video evidence",3,No,Yes
Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Criminal,"Complaint; FIR; Charge sheet; Sanction order; Trap report; Panchnama; Forensic report; Audio/video evidence; Asset records; Explanation; Witness list","Income records; Property records; Bank statements; Witnesses; Surveillance records",6 months,At filing,"A4 size; Sealed cover; Original documents; Audio/video evidence",3,No,Yes
Company / Insolvency (NCLT-NCLAT),Corporate Law,Oppression-Mismanagement,Corporate,"Application; Balance sheet; Profit loss; Debt details; Security documents; Committee of Creditors report; Resolution plan; Affidavit; Audited accounts; Registration details; Compliance certificate","Board resolution; Shareholder records; MCA records; Bank statements; Project reports; Minutes",1 year,At filing,"A4 size; Bound; Indexed; Original documents; Company seal",4,Yes,Yes
Company / Insolvency (NCLT-NCLAT),Corporate Law,Insolvency,Corporate,"Application; Balance sheet; Profit loss; Debt details; Security documents; Committee of Creditors report; Resolution plan; Affidavit; Audited accounts; Registration details; Compliance certificate","Board resolution; Shareholder records; MCA records; Bank statements; Project reports; Minutes",1 year,At filing,"A4 size; Bound; Indexed; Original documents; Company seal",4,Yes,Yes
Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Corporate,"Application; Balance sheet; Profit loss; Debt details; Security documents; Committee of Creditors report; Resolution plan; Affidavit; Audited accounts; Registration details; Arbitration award","Board resolution; Shareholder records; MCA records; Bank statements; Project reports; Minutes",1 year,At filing,"A4 size; Bound; Indexed; Original documents; Company seal",4,Yes,Yes
