case_id,case_type,domain,sub_category,state,district,intensity_level,mediation_willingness,settlement_possibility,legal_complexity,time_to_resolve_days,financial_impact,number_of_parties,eligibility_score,mediation_eligible
CASE00642,Arbitration & Mediation,Corporate Law,Arbitration-International,Maharashtra,Amravati,Medium,5,8,3,269,5,5,46.2,Conditional
CASE00643,Bail Applications,Criminal Law,IPC-Hurt,Karnataka,Gulbarga,Medium,9,2,7,254,1,4,49.92,Conditional
CASE00644,POCSO & Juvenile Justice,Criminal Law,IPC-Acid Attack,Rajasthan,Udaipur,Medium,3,9,3,366,9,4,35.34,No
CASE00645,Constitutional Law,Constitutional Law,Writ-Habeas Corpus,Haryana,Ambala,Medium,6,3,3,170,9,6,19,No
CASE00646,Motor Accident Claims,Civil Law,Torts-Motor Accident,Karnataka,Gulbarga,Low,10,8,5,64,10,3,93.6,Yes
CASE00647,Arbitration & Mediation,Corporate Law,Arbitration-Challenge,Assam,Jorhat,High,6,2,7,68,7,6,31,No
CASE00648,Family Disputes,Family Law,Child Custody-Legal,Rajasthan,Jodhpur,Medium,3,4,6,52,1,2,63.24,Yes
CASE00649,Civil Suits,Civil Law,Contract-Breach,Madhya Pradesh,Ujjain,Medium,8,5,6,267,7,6,79,Yes
CASE00650,Immigration & Passport Matters,Administrative Law,Licensing,Punjab,Patiala,Low,6,4,4,222,2,3,72,Yes
CASE00651,Bail Applications,Criminal Law,IPC-Assault,West Bengal,Siliguri,Medium,3,6,8,295,8,5,19,No
CASE00652,Medical Negligence,Civil Law,Torts-Medical Negligence,Delhi,North Delhi,Medium,6,10,8,152,10,4,55.08,Conditional
CASE00653,Criminal Appeals,Criminal Law,IPC-Cheating,Gujarat,Surat,High,10,10,9,396,10,3,19,No
CASE00654,Property Disputes,Property Law,Mortgage-Dispute,Uttar Pradesh,Varanasi,Medium,10,8,3,215,9,6,66.24,Yes
CASE00655,Family Disputes,Family Law,Inheritance-Intestate,West Bengal,Siliguri,High,9,10,6,165,2,4,67,Yes
CASE00656,Medical Negligence,Civil Law,Services-Health,Maharashtra,Amravati,Medium,10,6,8,341,6,2,73.5,Yes
CASE00657,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,West Bengal,Durgapur,Medium,7,7,8,215,8,6,30,No
CASE00658,Environmental Law,Criminal Law,Environment-Pollution,Rajasthan,Jodhpur,High,9,7,3,151,5,6,26.97,No
CASE00659,Real Estate & RERA,Property Law,Building-Construction,Bihar,Munger,High,8,3,6,272,5,2,41.36,Conditional
CASE00660,Medical Negligence,Civil Law,Torts-Medical Negligence,Maharashtra,Amravati,Low,10,7,4,158,4,5,98.7,Yes
CASE00661,Environmental Law,Criminal Law,Environment-Forest,Kerala,Kochi,High,6,9,3,274,6,3,27.5,No
CASE00662,Bail Applications,Criminal Law,IPC-Assault,Punjab,Bathinda,Low,5,6,5,111,9,4,60,Yes
CASE00663,Property Disputes,Property Law,Land-Boundary,Assam,Silchar,Medium,1,1,9,33,8,6,24,No
CASE00664,Writ Petitions,Constitutional Law,Writ-Mandamus,Haryana,Hisar,High,2,9,6,198,5,5,0,No
CASE00665,Consumer Protection,Consumer Law,Practices-Misleading Ads,Uttar Pradesh,Noida,Medium,5,9,5,196,10,4,55.2,Conditional
CASE00666,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Identity Theft,Uttar Pradesh,Allahabad,Low,9,2,8,239,7,5,47.84,Conditional
CASE00667,Real Estate & RERA,Property Law,Building-Construction,Punjab,Chandigarh,Low,3,2,5,171,2,6,64,Yes
CASE00668,Criminal Appeals,Criminal Law,IPC-Hurt,Karnataka,Belgaum,Medium,6,5,4,216,5,4,46.8,Conditional
CASE00669,Insurance Claims,Consumer Law,Services-Insurance,Uttar Pradesh,Ghaziabad,Medium,5,8,7,378,9,6,51.52,Conditional
CASE00670,Motor Accident Claims,Civil Law,Torts-Motor Accident,West Bengal,Kolkata,Low,7,7,4,310,7,4,91,Yes
CASE00671,Family Disputes,Family Law,Inheritance-Intestate,Punjab,Chandigarh,High,6,6,7,383,9,5,52,Conditional
CASE00672,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 14,Assam,Nagaon,Medium,10,3,4,214,2,6,39,No
CASE00673,Real Estate & RERA,Property Law,Housing-Society,Haryana,Faridabad,Low,1,8,3,130,10,6,62,Yes
CASE00674,Family Disputes,Family Law,Domestic Violence-Physical,Gujarat,Bhavnagar,Medium,8,1,5,386,7,3,80,Yes
CASE00675,Insurance Claims,Consumer Law,Torts-Motor Accident,Delhi,East Delhi,High,1,4,7,313,2,5,32.4,No
CASE00676,Writ Petitions,Constitutional Law,Writ-Prohibition,West Bengal,Hooghly,Medium,5,1,6,340,4,2,17,No
CASE00677,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Rajasthan,Ajmer,Low,5,6,6,267,5,2,46.5,Conditional
CASE00678,Civil Suits,Civil Law,Property-Title,Kerala,Thrissur,Medium,9,8,6,143,7,2,86.9,Yes
CASE00679,Insurance Claims,Consumer Law,Services-Insurance,Haryana,Faridabad,Low,10,3,7,236,9,6,92,Yes
CASE00680,Tax Law (Direct & Indirect),Administrative Law,Taxation-Professional,Rajasthan,Jaipur,Medium,9,2,8,207,7,5,47.43,Conditional
CASE00681,Family Disputes,Family Law,Inheritance-Intestate,Haryana,Ambala,Medium,3,8,9,80,7,3,44,Conditional
CASE00682,Company / Insolvency (NCLT-NCLAT),Corporate Law,Oppression-Mismanagement,Uttar Pradesh,Agra,Low,1,4,6,97,8,6,46.92,Conditional
CASE00683,Environmental Law,Criminal Law,Environment-Pollution,Kerala,Thrissur,Medium,9,2,5,110,5,3,51.7,Conditional
CASE00684,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 21,Gujarat,Surat,Low,7,9,3,360,6,5,44,Conditional
CASE00685,Medical Negligence,Civil Law,Torts-Medical Negligence,Madhya Pradesh,Indore,Low,2,6,8,302,6,5,57,Conditional
CASE00686,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Karnataka,Hubli,Low,1,1,3,61,1,4,39.52,No
CASE00687,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,West Bengal,Asansol,Medium,7,1,9,310,5,4,40,Conditional
CASE00688,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Kerala,Thrissur,High,3,4,8,115,10,6,0,No
CASE00689,Property Disputes,Property Law,Land-Boundary,Punjab,Jalandhar,High,9,3,4,284,6,6,47,Conditional
CASE00690,Property Disputes,Property Law,Building-Construction,Uttar Pradesh,Lucknow,Medium,7,6,8,256,4,4,41.4,Conditional
CASE00691,Bail Applications,Criminal Law,IPC-Assault,Bihar,Patna,Low,9,5,5,342,2,4,58.08,Conditional
CASE00692,Human Rights & PIL,Constitutional Law,PIL-Public Interest,Karnataka,Mysore,Medium,5,3,6,178,5,5,22.88,No
CASE00693,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Haryana,Panipat,Medium,8,10,8,389,6,4,36,No
CASE00694,Criminal Appeals,Criminal Law,IPC-Cheating,Delhi,West Delhi,High,10,10,6,242,1,6,33.48,No
CASE00695,Real Estate & RERA,Property Law,Building-Construction,Assam,Silchar,Low,10,4,6,243,5,5,89,Yes
CASE00696,Intellectual Property,Civil Law,Geographical Indication,Punjab,Chandigarh,High,2,5,7,212,8,5,33,No
CASE00697,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 15,Tamil Nadu,Vellore,Medium,6,3,4,163,6,6,23.69,No
CASE00698,Bail Applications,Criminal Law,IPC-Murder,Rajasthan,Bikaner,Low,6,8,8,375,8,5,37.2,No
CASE00699,Banking & Debt Recovery,Corporate Law,Corporate-Fraud,West Bengal,Kolkata,Medium,8,6,8,229,5,2,44,Conditional
CASE00700,Writ Petitions,Constitutional Law,Writ-Mandamus,Maharashtra,Navi Mumbai,Low,7,2,6,264,7,5,42,Conditional
CASE00701,Labour & Employment Disputes,Labour Law,Industrial-Retrenchment,Delhi,North Delhi,High,6,1,8,256,5,4,29.16,No
CASE00702,Medical Negligence,Civil Law,Torts-Medical Negligence,West Bengal,Howrah,Low,3,4,7,194,2,5,72,Yes
CASE00703,POCSO & Juvenile Justice,Criminal Law,IPC-Acid Attack,Maharashtra,Navi Mumbai,Low,6,9,6,304,7,4,58.8,Conditional
CASE00704,Environmental Law,Criminal Law,Environment-Pollution,Tamil Nadu,Salem,Low,9,5,5,323,5,2,73.13,Yes
CASE00705,Consumer Protection,Consumer Law,Services-Travel,Tamil Nadu,Vellore,Low,5,10,6,262,4,4,74.16,Yes
CASE00706,Labour & Employment Disputes,Labour Law,Compensation-Accident,Uttar Pradesh,Agra,Low,4,10,3,92,10,3,64.4,Yes
CASE00707,Corporate & Commercial Law,Corporate Law,Arbitration-Enforcement,Punjab,Chandigarh,Medium,9,8,8,81,9,5,37,No
CASE00708,Real Estate & RERA,Property Law,Lease-Residential,Assam,Silchar,Low,6,10,6,390,9,2,76,Yes
CASE00709,Motor Accident Claims,Civil Law,Torts-Motor Accident,West Bengal,Kolkata,Medium,5,4,6,216,7,4,68,Yes
CASE00710,Insurance Claims,Consumer Law,Services-Insurance,Punjab,Amritsar,Medium,2,9,7,113,7,3,56,Conditional
CASE00711,Constitutional Law,Constitutional Law,Fundamental Rights-Article 15,Karnataka,Davangere,Low,6,1,9,322,10,2,23.92,No
CASE00712,Bail Applications,Criminal Law,IPC-Hurt,Bihar,Darbhanga,High,6,8,8,277,4,6,11.44,No
CASE00713,Banking & Debt Recovery,Corporate Law,Corporate-Fraud,Rajasthan,Jaipur,Low,4,10,6,368,4,6,56.73,Conditional
CASE00714,Constitutional Law,Constitutional Law,Writ-Habeas Corpus,Uttar Pradesh,Ghaziabad,Medium,3,9,5,150,4,2,11.96,No
CASE00715,Labour & Employment Disputes,Labour Law,Wages-Minimum,West Bengal,Kolkata,Medium,3,2,4,92,10,5,49,Conditional
CASE00716,Civil Suits,Civil Law,Torts-Motor Accident,Assam,Jorhat,Low,6,6,6,301,7,4,80,Yes
CASE00717,Constitutional Law,Constitutional Law,Writ-Habeas Corpus,Uttar Pradesh,Ghaziabad,Medium,3,3,3,300,1,4,14.72,No
CASE00718,Bail Applications,Criminal Law,IPC-Assault,Tamil Nadu,Tirunelveli,Medium,8,3,5,173,10,2,45.32,Conditional
CASE00719,Bail Applications,Criminal Law,IPC-Murder,Delhi,East Delhi,Medium,7,8,8,245,6,4,28.08,No
CASE00720,Corporate & Commercial Law,Corporate Law,Contract-Breach,Kerala,Alappuzha,Low,5,5,7,84,10,6,63.8,Yes
CASE00721,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Uttar Pradesh,Meerut,Medium,1,9,8,90,5,2,11.96,No
CASE00722,Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,Haryana,Hisar,High,7,9,9,106,2,5,0,No
CASE00723,Family Disputes,Family Law,Divorce-Mutual Consent,Bihar,Bhagalpur,Medium,8,2,4,42,4,2,72.16,Yes
CASE00724,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Identity Theft,Uttar Pradesh,Meerut,Medium,8,4,7,126,5,2,43.24,Conditional
CASE00725,NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Gujarat,Surat,Medium,5,4,9,127,7,3,29,No
CASE00726,POCSO & Juvenile Justice,Criminal Law,IPC-Rape,Madhya Pradesh,Bhopal,Low,8,9,9,172,7,3,49,Conditional
CASE00727,Bail Applications,Criminal Law,IPC-Assault,Karnataka,Belgaum,High,2,4,5,197,3,2,6.24,No
CASE00728,Environmental Law,Criminal Law,Environment-Pollution,Gujarat,Jamnagar,Medium,4,7,8,252,6,2,20,No
CASE00729,Tax Law (Direct & Indirect),Administrative Law,Taxation-Service,West Bengal,Siliguri,Low,5,4,4,326,4,3,61,Yes
CASE00730,Constitutional Law,Constitutional Law,Fundamental Rights-Article 15,Uttar Pradesh,Kanpur,Medium,10,6,3,383,3,6,34.04,No
CASE00731,Motor Accident Claims,Civil Law,Torts-Motor Accident,Karnataka,Bangalore,Medium,10,6,9,94,10,2,65.52,Yes
CASE00732,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Punjab,Patiala,Low,8,7,3,345,3,2,69,Yes
CASE00733,Labour & Employment Disputes,Labour Law,Termination-Retirement,Delhi,South Delhi,Low,8,8,4,270,4,3,88.56,Yes
CASE00734,Corporate & Commercial Law,Corporate Law,Arbitration-Challenge,West Bengal,Howrah,High,3,6,6,390,3,5,19,No
CASE00735,Corporate & Commercial Law,Corporate Law,Oppression-Mismanagement,Rajasthan,Jodhpur,Medium,10,7,6,271,7,5,51.15,Conditional
CASE00736,Bail Applications,Criminal Law,IPC-Murder,Karnataka,Belgaum,Low,2,10,3,237,10,3,42.64,Conditional
CASE00737,Consumer Protection,Consumer Law,Practices-E-commerce,Madhya Pradesh,Sagar,Low,7,5,9,283,6,6,64,Yes
CASE00738,Property Disputes,Property Law,Building-Construction,Bihar,Munger,Low,2,10,4,101,7,3,52.8,Conditional
CASE00739,Writ Petitions,Constitutional Law,Writ-Prohibition,Bihar,Gaya,High,9,3,5,103,5,5,6.16,No
CASE00740,Constitutional Law,Constitutional Law,Fundamental Rights-Article 15,Maharashtra,Mumbai,Medium,3,2,4,248,7,6,11.55,No
CASE00741,Family Disputes,Family Law,Domestic Violence-Physical,Bihar,Munger,Medium,2,5,4,332,10,5,49.28,Conditional
CASE00742,Labour & Employment Disputes,Labour Law,Industrial-Layoff,Maharashtra,Solapur,Medium,6,7,3,109,5,4,56.7,Conditional
CASE00743,Banking & Debt Recovery,Corporate Law,Insolvency,Madhya Pradesh,Gwalior,High,4,4,7,213,1,4,24,No
CASE00744,Environmental Law,Criminal Law,Environment-Forest,Madhya Pradesh,Jabalpur,Low,5,9,9,288,6,3,35,No
CASE00745,Criminal Appeals,Criminal Law,IPC-Cheating,Gujarat,Surat,Medium,6,2,4,191,3,2,46,Conditional
CASE00746,Bail Applications,Criminal Law,IPC-Assault,Bihar,Gaya,High,6,2,5,66,5,3,21.12,No
CASE00747,Real Estate & RERA,Property Law,Building-Construction,Rajasthan,Udaipur,Medium,6,7,4,182,5,4,56.73,Conditional
CASE00748,POCSO & Juvenile Justice,Criminal Law,IPC-Rape,West Bengal,Durgapur,Low,5,6,4,340,3,4,50,Conditional
CASE00749,Real Estate & RERA,Property Law,Lease-Residential,Uttar Pradesh,Varanasi,Medium,8,4,5,199,6,3,57.04,Conditional
CASE00750,Arbitration & Mediation,Corporate Law,Arbitration-International,Karnataka,Bangalore,Medium,4,10,4,106,3,3,38.48,No
CASE00751,Arbitration & Mediation,Corporate Law,Arbitration-Appointment,Haryana,Panipat,Medium,2,1,7,384,2,3,34,No
CASE00752,Corporate & Commercial Law,Corporate Law,Director-Conflict,Tamil Nadu,Vellore,Low,4,7,4,32,9,3,58.71,Conditional
CASE00753,Intellectual Property,Civil Law,Design,Tamil Nadu,Tirunelveli,High,4,1,9,101,1,6,24.72,No
CASE00754,Intellectual Property,Civil Law,Copyright,Delhi,New Delhi,Medium,8,1,3,372,8,3,85.32,Yes
CASE00755,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 19,Delhi,New Delhi,Low,3,9,9,112,6,2,19.44,No
CASE00756,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Assam,Guwahati,Low,7,7,6,223,6,5,58,Conditional
CASE00757,Environmental Law,Criminal Law,Environment-Forest,Tamil Nadu,Vellore,Medium,9,9,7,90,5,3,50.47,Conditional
CASE00758,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Assam,Jorhat,High,2,10,3,41,5,3,11,No
CASE00759,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Karnataka,Hubli,Medium,6,7,8,186,8,5,30.16,No
CASE00760,Environmental Law,Criminal Law,Environment-Forest,Uttar Pradesh,Varanasi,Medium,10,10,9,250,5,3,39.56,No
CASE00761,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Tamil Nadu,Tiruchirappalli,High,10,8,8,252,1,2,16.48,No
CASE00762,POCSO & Juvenile Justice,Criminal Law,IPC-Rape,Maharashtra,Solapur,High,4,6,5,278,9,5,19.95,No
CASE00763,Family Disputes,Family Law,Child Custody-Physical,Madhya Pradesh,Jabalpur,Medium,1,3,9,76,1,3,38,No
CASE00764,Family Disputes,Family Law,Child Custody-Physical,Kerala,Kochi,Low,5,10,6,129,7,6,93.5,Yes
CASE00765,Family Disputes,Family Law,Child Custody-Legal,Haryana,Panipat,Medium,1,9,8,195,2,4,44,Conditional
CASE00766,Company / Insolvency (NCLT-NCLAT),Corporate Law,Insolvency,West Bengal,Kolkata,High,8,1,8,143,4,4,20,No
CASE00767,Immigration & Passport Matters,Administrative Law,Service-Transfer,Gujarat,Ahmedabad,Medium,6,1,9,278,8,3,40,Conditional
CASE00768,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Kerala,Kochi,Medium,1,7,9,33,6,6,9.9,No
CASE00769,Labour & Employment Disputes,Labour Law,Industrial-Layoff,Uttar Pradesh,Lucknow,Medium,8,2,5,201,5,4,60.72,Yes
CASE00770,NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Bihar,Darbhanga,Medium,2,10,8,355,3,5,14.08,No
CASE00771,Writ Petitions,Constitutional Law,Writ-Certiorari,Uttar Pradesh,Allahabad,Low,5,8,7,369,2,3,35.88,No
CASE00772,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 15,Maharashtra,Aurangabad,Low,1,8,5,351,7,4,29.4,No
CASE00773,Consumer Protection,Consumer Law,Products-Electronic,Tamil Nadu,Coimbatore,Low,10,1,5,230,3,5,93.73,Yes
CASE00774,Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,Kerala,Kozhikode,Low,5,4,5,244,2,4,42.9,Conditional
CASE00775,Constitutional Law,Constitutional Law,Fundamental Rights-Article 15,Delhi,North Delhi,Medium,6,2,4,373,9,2,28.08,No
CASE00776,Company / Insolvency (NCLT-NCLAT),Corporate Law,Insolvency,Bihar,Darbhanga,Low,9,5,7,333,2,6,65.12,Yes
CASE00777,Labour & Employment Disputes,Labour Law,Compensation-Accident,Karnataka,Bangalore,Medium,4,9,3,304,8,3,58.24,Conditional
CASE00778,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Haryana,Gurugram,Low,3,1,7,115,2,6,46,Conditional
CASE00779,Family Disputes,Family Law,Child Custody-Physical,Haryana,Faridabad,Medium,6,8,5,133,9,2,70,Yes
CASE00780,Medical Negligence,Civil Law,Torts-Medical Negligence,West Bengal,Kolkata,Low,9,8,7,157,10,2,97,Yes
CASE00781,Motor Accident Claims,Civil Law,Torts-Motor Accident,Punjab,Amritsar,Medium,5,6,5,55,7,6,65,Yes
CASE00782,Arbitration & Mediation,Corporate Law,Arbitration-Enforcement,Uttar Pradesh,Kanpur,Medium,10,6,7,307,10,5,53.36,Conditional
CASE00783,Environmental Law,Criminal Law,Environment-Pollution,Uttar Pradesh,Agra,Low,7,2,6,323,6,6,58.88,Conditional
CASE00784,Criminal Appeals,Criminal Law,IPC-Murder,Gujarat,Surat,Medium,2,2,4,75,5,2,34,No
CASE00785,Tax Law (Direct & Indirect),Administrative Law,Taxation-Service,Gujarat,Surat,Medium,4,3,9,151,9,4,27,No
CASE00786,POCSO & Juvenile Justice,Criminal Law,IPC-Gang Rape,Haryana,Panipat,Medium,9,8,7,104,3,6,57,Conditional
CASE00787,Motor Accident Claims,Civil Law,Torts-Motor Accident,Uttar Pradesh,Lucknow,High,5,4,9,76,7,6,28.52,No
CASE00788,Motor Accident Claims,Civil Law,Torts-Motor Accident,Gujarat,Vadodara,High,7,10,6,214,2,4,50,Conditional
CASE00789,Corporate & Commercial Law,Corporate Law,Oppression-Mismanagement,Rajasthan,Jodhpur,Low,1,5,6,139,1,3,41.85,Conditional
CASE00790,Immigration & Passport Matters,Administrative Law,Service-Transfer,Assam,Silchar,High,2,1,3,225,9,4,18,No
CASE00791,Consumer Protection,Consumer Law,Products-Vehicles,Bihar,Darbhanga,Medium,4,10,7,115,5,4,50.16,Conditional
CASE00792,Medical Negligence,Civil Law,Torts-Medical Negligence,Karnataka,Davangere,Medium,8,7,3,380,7,5,79.04,Yes
CASE00793,Environmental Law,Criminal Law,Environment-Forest,Delhi,New Delhi,Low,4,9,8,222,5,3,45.36,Conditional
CASE00794,Labour & Employment Disputes,Labour Law,Wages-Minimum,Karnataka,Bangalore,Medium,10,10,9,123,8,6,59.28,Conditional
CASE00795,Labour & Employment Disputes,Labour Law,Compensation-Accident,Punjab,Chandigarh,High,4,7,3,158,10,4,33,No
CASE00796,Company / Insolvency (NCLT-NCLAT),Corporate Law,Insolvency,Gujarat,Surat,Medium,7,4,6,140,7,5,49,Conditional
CASE00797,Constitutional Law,Constitutional Law,Writ-Mandamus,Tamil Nadu,Tirunelveli,Medium,8,10,7,203,10,4,32.96,No
CASE00798,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Madhya Pradesh,Gwalior,Low,9,7,3,336,9,2,71,Yes
CASE00799,Civil Suits,Civil Law,Property-Title,Haryana,Panipat,Medium,7,9,8,175,10,5,61,Yes
CASE00800,Bail Applications,Criminal Law,IPC-Assault,Rajasthan,Ajmer,Medium,8,5,3,58,8,4,47.43,Conditional
CASE00801,Intellectual Property,Civil Law,Patent,Gujarat,Vadodara,Low,3,7,7,253,4,2,70,Yes
CASE00802,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Bihar,Bhagalpur,Low,2,5,5,41,8,5,36.96,No
CASE00803,Medical Negligence,Civil Law,Services-Health,Uttar Pradesh,Kanpur,Low,1,4,9,382,9,4,46,Conditional
CASE00804,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Delhi,Central Delhi,Medium,5,8,5,399,9,2,42.12,Conditional
CASE00805,Immigration & Passport Matters,Administrative Law,Licensing,Punjab,Amritsar,High,9,3,7,113,6,2,46,Conditional
CASE00806,Civil Suits,Civil Law,Contract-Breach,Bihar,Darbhanga,Medium,2,2,3,329,1,3,53.68,Conditional
CASE00807,Labour & Employment Disputes,Labour Law,Compensation-Accident,Haryana,Rohtak,Medium,9,5,3,264,1,5,69,Yes
CASE00808,Immigration & Passport Matters,Administrative Law,Licensing,Karnataka,Mangalore,Medium,5,2,9,251,3,5,34.32,No
CASE00809,POCSO & Juvenile Justice,Criminal Law,IPC-Acid Attack,Rajasthan,Ajmer,Medium,1,4,8,168,4,4,13.02,No
CASE00810,Writ Petitions,Constitutional Law,Writ-Certiorari,Madhya Pradesh,Indore,High,4,6,8,399,9,5,0,No
CASE00811,Medical Negligence,Civil Law,Torts-Medical Negligence,Haryana,Faridabad,Low,6,1,6,99,1,6,84,Yes
CASE00812,Intellectual Property,Civil Law,Geographical Indication,Delhi,South Delhi,Low,5,4,6,116,10,4,90.72,Yes
CASE00813,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Punjab,Chandigarh,Medium,9,3,6,386,5,3,51,Conditional
CASE00814,Medical Negligence,Civil Law,Services-Health,Maharashtra,Amravati,Medium,2,3,4,157,5,5,63,Yes
CASE00815,Bail Applications,Criminal Law,IPC-Murder,Madhya Pradesh,Sagar,Medium,10,5,6,316,10,4,58,Conditional
CASE00816,Family Disputes,Family Law,Domestic Violence-Physical,Haryana,Rohtak,Low,8,10,7,34,4,5,94,Yes
CASE00817,Human Rights & PIL,Constitutional Law,PIL-Public Interest,West Bengal,Siliguri,High,2,4,7,34,4,2,0,No
CASE00818,Arbitration & Mediation,Corporate Law,Arbitration-Challenge,Uttar Pradesh,Meerut,Medium,9,1,4,365,1,6,47.84,Conditional
CASE00819,Labour & Employment Disputes,Labour Law,Termination-Retirement,Tamil Nadu,Madurai,Low,1,7,5,96,6,3,54.59,Conditional
CASE00820,Consumer Protection,Consumer Law,Services-Travel,Gujarat,Vadodara,High,3,4,4,339,8,6,34,No
CASE00821,Labour & Employment Disputes,Labour Law,Service-Promotion,Uttar Pradesh,Varanasi,Medium,9,1,8,308,4,6,49.68,Conditional
CASE00822,Consumer Protection,Consumer Law,Practices-E-commerce,Madhya Pradesh,Indore,High,8,4,3,159,9,4,47,Conditional
CASE00823,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Identity Theft,Madhya Pradesh,Gwalior,High,4,8,7,250,1,3,18,No
CASE00824,Insurance Claims,Consumer Law,Torts-Motor Accident,Karnataka,Davangere,Low,2,6,4,167,4,6,72.8,Yes
CASE00825,Bail Applications,Criminal Law,IPC-Murder,Rajasthan,Kota,Medium,6,3,9,243,8,3,28.83,No
CASE00826,Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,West Bengal,Kolkata,High,3,5,7,132,4,3,0,No
CASE00827,Environmental Law,Criminal Law,Environment-Pollution,Maharashtra,Nashik,Medium,8,10,3,313,4,4,49.35,Conditional
CASE00828,Intellectual Property,Civil Law,Design,Uttar Pradesh,Meerut,High,2,6,3,225,5,2,30.36,No
CASE00829,Real Estate & RERA,Property Law,Lease-Residential,Kerala,Kochi,Low,9,1,5,301,7,5,85.8,Yes
CASE00830,Labour & Employment Disputes,Labour Law,Compensation-Accident,Punjab,Patiala,Medium,8,3,9,178,2,6,47,Conditional
CASE00831,Property Disputes,Property Law,Housing-Society,Maharashtra,Amravati,Medium,4,2,5,387,9,6,58.8,Conditional
CASE00832,Property Disputes,Property Law,Lease-Commercial,Bihar,Darbhanga,High,6,8,5,262,2,3,33.44,No
CASE00833,Environmental Law,Criminal Law,Environment-Pollution,Tamil Nadu,Chennai,High,6,3,4,321,4,5,23.69,No
CASE00834,Immigration & Passport Matters,Administrative Law,Licensing,West Bengal,Asansol,Low,10,4,8,59,1,5,62,Yes
CASE00835,Environmental Law,Criminal Law,Environment-Pollution,Karnataka,Gulbarga,Medium,3,2,6,397,7,2,30.16,No
CASE00836,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Cyber Stalking,Haryana,Rohtak,Medium,6,3,3,243,9,3,47,Conditional
CASE00837,Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Uttar Pradesh,Lucknow,Low,6,3,9,269,7,6,52.44,Conditional
CASE00838,Real Estate & RERA,Property Law,Housing-Society,Assam,Dibrugarh,Medium,1,3,4,317,7,6,45,Conditional
CASE00839,Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Maharashtra,Nagpur,Medium,5,5,4,323,10,6,47.25,Conditional
CASE00840,Environmental Law,Criminal Law,Environment-Pollution,Kerala,Alappuzha,High,3,4,3,288,6,6,17.6,No
CASE00841,Motor Accident Claims,Civil Law,Torts-Motor Accident,Karnataka,Gulbarga,Medium,6,4,9,312,3,4,49.92,Conditional
CASE00842,Writ Petitions,Constitutional Law,Writ-Mandamus,Maharashtra,Aurangabad,High,1,3,5,52,6,3,0,No
CASE00843,Writ Petitions,Constitutional Law,Writ-Mandamus,Bihar,Bhagalpur,Medium,8,2,3,386,5,3,29.04,No
CASE00844,Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,Gujarat,Vadodara,Low,1,6,5,311,10,2,19,No
CASE00845,Writ Petitions,Constitutional Law,Writ-Certiorari,Tamil Nadu,Tiruchirappalli,High,1,2,8,323,2,3,0,No
CASE00846,Consumer Protection,Consumer Law,Services-Health,West Bengal,Kolkata,Low,10,4,8,368,1,3,74,Yes
CASE00847,Environmental Law,Criminal Law,Environment-Forest,Bihar,Darbhanga,Low,9,4,6,398,2,3,58.08,Conditional
CASE00848,Family Disputes,Family Law,Domestic Violence-Physical,Uttar Pradesh,Noida,Low,7,10,4,75,8,4,82.8,Yes
